startup_name,description,website,founding_date,location,funding_stage,funding_amount,investors,team_size,founders,linkedin,twitter,contact_email,source,is_ai_related,ai_confidence_score,scraped_date
Narrative,AI-powered QA testing platform,https://www.trynarrative.com/,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,7.0,,,,,Y Combinator,True,0.4,
Omnistrate,Transform any software to multi-cloud SaaS in minutes not years,http://www.omnistrate.com,,"Redwood City, CA, USA; Remote",Winter 2023,,Y Combinator,15.0,,,,,Y Combinator,False,0.0,
Dataglade,The smart way to research stocks.,https://dataglade.com,,"New York, NY, USA",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Tennr,"Fast, Transparent Patient Experiences",https://www.tennr.com,,"New York, NY, USA",Winter 2023,,Y Combinator,135.0,,,,,Y Combinator,False,0.0,
Salient,AI Servicing for Auto Lenders,https://www.trysalient.com,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,40.0,,,,,Y Combinator,True,0.2,
ZeroDev,Account abstraction wallets as a service,https://zerodev.app/,,"New York, NY, USA",Winter 2023,,Y Combinator,5.0,,,,,Y Combinator,False,0.0,
Ruby Card,Neobank for e-commerce businesses,https://www.spendruby.com,,"New York, NY, USA; Remote",Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,False,0.0,
Pledge Health,AI RCM assistant that handles any insurance task on payer portals for…,https://www.pledge.health/,,,Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,True,0.2,
Versive,AI-first user research platform,https://www.getversive.com/,,"San Francisco, CA, USA; Remote",Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,True,0.2,
Glass Health,AI-Powered Clinical Decision Support,http://glass.health,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,True,0.4,
Double – Coding Copilot,AI coding copilot engineered for performance,https://double.bot,,"Redwood City, CA, USA",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,True,0.2,
Ohm,"AI ""co-scientists"" for battery design & manufacturing",https://www.ohm.ai,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,6.0,,,,,Y Combinator,True,0.2,
Pair AI,Reimagining education with short form video and AI,https://www.pairai.com/,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,True,0.2,
Mercoa,AI Agent for Billpay platforms to pay invoices with virtual cards,http://mercoa.com,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,True,0.2,
Numeral,The AI-native sales tax solution.,https://www.numeral.com/,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,85.0,,,,,Y Combinator,True,0.2,
Nango,A single API for all your integrations,https://nango.dev,,"San Francisco, CA, USA; Remote",Winter 2023,,Y Combinator,6.0,,,,,Y Combinator,False,0.0,
Palomma,AI Agents for Residential Property Managers & Real Estate Developers,http://www.palomma.com/,,"Medellín, Antioquia, Colombia",Winter 2023,,Y Combinator,8.0,,,,,Y Combinator,True,0.2,
Hammr,Rippling for the Construction Industry,https://www.hammr.com,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,10.0,,,,,Y Combinator,False,0.0,
Trackstar,Plaid for supply chain logistics,https://www.trackstarhq.com/,,"New York, NY, USA",Winter 2023,,Y Combinator,7.0,,,,,Y Combinator,False,0.0,
FlexDesk,One platform for corporate occupiers to manage their office portfolios,https://www.flexdesk.com/,,"New York, NY, USA; Remote",Winter 2023,,Y Combinator,8.0,,,,,Y Combinator,False,0.0,
Mulligan,AI automation for insurance brokerages,https://usemulligan.com,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,4.0,,,,,Y Combinator,True,0.4,
Backdrop,Building what’s next with AI.,https://www.joinbackdrop.com,,,Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,True,0.2,
Latent,Medical language models to automate healthcare operations,https://latenthealth.com,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,50.0,,,,,Y Combinator,False,0.0,
Concourse,AI Agents for corporate finance teams,https://concourse.co/,,"New York, NY, USA",Winter 2023,,Y Combinator,7.0,,,,,Y Combinator,True,0.2,
Lume,Speed up customer implementation with AI,https://www.lume.ai,,,Winter 2023,,Y Combinator,5.0,,,,,Y Combinator,True,0.2,
Novelcare,Empowering every doctor and every patient to participate in research,https://www.novel.care,,"New York, NY, USA; Remote",Winter 2023,,Y Combinator,5.0,,,,,Y Combinator,False,0.0,
Pigeon,"AI-powered document automation: collect, review, extract, and sync.",https://www.pigeondocuments.com/,,,Winter 2023,,Y Combinator,5.0,,,,,Y Combinator,True,0.6,
Depot,Build faster. Waste less time.,https://depot.dev,,Remote,Winter 2023,,Y Combinator,8.0,,,,,Y Combinator,False,0.0,
Rollstack,Automate data-driven slide decks and documents with AI,https://www.rollstack.com,,"New York, NY, USA; Remote",Winter 2023,,Y Combinator,30.0,,,,,Y Combinator,True,0.2,
Magic Patterns,Go from idea to production with AI.,https://www.magicpatterns.com/,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,5.0,,,,,Y Combinator,True,0.2,
Credal.ai,Connect AI to every tool. Enterprise security built in.,https://credal.ai,,"New York, NY, USA",Winter 2023,,Y Combinator,14.0,,,,,Y Combinator,True,0.2,
DrDroid,Your best friend in production.,https://drdroid.io/,,"Bengaluru, KA, India",Winter 2023,,Y Combinator,8.0,,,,,Y Combinator,False,0.0,
Syncly,AI to auto-analyze all your customer communications,https://syncly.app/,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,9.0,,,,,Y Combinator,True,0.2,
Versori,Agentic integrations & automations for enterprise,https://www.versori.com/,,"Manchester, England, United Kingdom",Winter 2023,,Y Combinator,16.0,,,,,Y Combinator,False,0.0,
Trigger.dev,Build and deploy fully‑managed AI agents and workflows,https://trigger.dev,,"London, England, United Kingdom",Winter 2023,,Y Combinator,9.0,,,,,Y Combinator,True,0.2,
rift,The sales platform built to help you focus,https://rift.com,,"San Francisco, CA, USA; Remote",Winter 2023,,Y Combinator,8.0,,,,,Y Combinator,False,0.0,
Traceloop,Know what your LLM is doing — and why it’s failing,https://www.traceloop.com,,"Tel Aviv-Yafo, Tel Aviv District, Israel",Winter 2023,,Y Combinator,9.0,,,,,Y Combinator,True,0.35,
Matano,Cloud Native SIEM (alternative to Splunk/Elastic),https://www.matano.dev,,"Seattle, WA, USA; San Francisco, CA, USA",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Linum,"type text, dream video",https://www.linum.ai/,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
OneText,Frictionless payments via SMS,https://onetext.com,,"San Jose, CA, USA; San Francisco, CA, USA; Remote",Winter 2023,,Y Combinator,6.0,,,,,Y Combinator,False,0.0,
Reflex,The operating system for building mission-critical enterprise apps.,https://reflex.dev,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,10.0,,,,,Y Combinator,False,0.0,
Miracle,"Accelerate clinical trials with real-time, actionable insights",http://www.miracleml.com,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,6.0,,,,,Y Combinator,False,0.0,
Finvest,Easy way to buy US Treasury Bills,https://www.getfinvest.com/,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,5.0,,,,,Y Combinator,False,0.0,
Laminate,,https://www.uselaminate.com,,,Winter 2023,,Y Combinator,,,,,,Y Combinator,False,0.0,
Designbase,Design and build great interfaces,https://www.designbase.com/,,Remote,Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,False,0.0,
StackAI,The Enterprise AI Transformation Platform,https://www.stack-ai.com,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,46.0,,,,,Y Combinator,True,0.2,
Middleware,AI-based full stack observability platform,https://www.middleware.io,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,40.0,,,,,Y Combinator,True,0.2,
Infisical,"Unified platform for secrets, certs, and privileged access management",https://infisical.com,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,40.0,,,,,Y Combinator,False,0.0,
Avoca,AI-powered Sales Agent for Service-Based Industries,https://www.avoca.ai/,,,Winter 2023,,Y Combinator,7.0,,,,,Y Combinator,True,0.4,
Rubbrband,The AI content studio,https://rubbrband.com,,,Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,True,0.2,
LazyEditor,AI Agentic Video Editor,https://www.lazyeditor.ai/,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,True,0.2,
Sameday,The leading AI workforce for the trades.,https://www.gosameday.com/,,"Lehi, UT, USA",Winter 2023,,Y Combinator,7.0,,,,,Y Combinator,True,0.2,
Chima,Building infrastructure tools to help large companies customize their…,https://www.withchima.com/,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,7.0,,,,,Y Combinator,False,0.0,
RaptorGrid,AI Employees for Finance,https://raptorgrid.com,,"New York, NY, USA",Winter 2023,,Y Combinator,10.0,,,,,Y Combinator,True,0.2,
Unify,Hire AI — Not APIs ✨,https://unify.ai,,"London, England, United Kingdom; Remote",Winter 2023,,Y Combinator,10.0,,,,,Y Combinator,True,0.2,
highlight.io,"The open source, fullstack monitoring platform: stop guessing why…",https://www.highlight.io/,,"Seattle, WA, USA; Remote",Winter 2023,,Y Combinator,8.0,,,,,Y Combinator,False,0.0,
Fern,Instantly offer SDKs and API Docs,https://www.buildwithfern.com,,"New York, NY, USA",Winter 2023,,Y Combinator,30.0,,,,,Y Combinator,False,0.0,
OpenInt,Open Source Embedded Product Integrations,https://openint.dev,,Remote,Winter 2023,,Y Combinator,4.0,,,,,Y Combinator,False,0.0,
DAGWorks Inc.,Open source tools & services for reliable AI Agents & AI Applications,https://www.dagworks.io/,,"San Francisco, CA, USA; Remote",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,True,0.2,
Keep,The open-source AIOps platform,https://www.keephq.dev,,"Tel Aviv-Yafo, Tel Aviv District, Israel; Remote",Winter 2023,,Y Combinator,5.0,,,,,Y Combinator,False,0.0,
PlayAI,Our mission is to make Voice AI accessible and useful to all.,https://play.ai/,,"Mountain View, CA, USA",Winter 2023,,Y Combinator,35.0,,,,,Y Combinator,True,0.4,
Muffin Data,Modern analytics for CPG brands,http://www.muffindata.com,,,Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,True,0.2,
Arroyo,Cloud-native stream processing,https://www.arroyo.dev,,"Berkeley, CA, USA",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Fairway Health,AI Co-Pilot for Health Insurers to Authorize Treatment Faster,https://www.fairwayhealth.co/,,"New York, NY, USA; Philadelphia, PA, USA; Boston, MA, USA; Remote",Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,True,0.2,
Booth AI,Generative AI Photographer for E-Commerce,https://booth.ai,,Remote,Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,True,0.55,
EzDubs,Real-time speech translation,http://www.ezdubs.ai,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,6.0,,,,,Y Combinator,False,0.0,
OpenMeter,"Usage Metering, AI & API Monetization",https://openmeter.io,,,Winter 2023,,Y Combinator,7.0,,,,,Y Combinator,True,0.2,
Outerbase,The interface for your database,https://www.outerbase.com,,"Pittsburgh, PA, USA; San Francisco, CA, USA; Remote",Winter 2023,,Y Combinator,4.0,,,,,Y Combinator,False,0.0,
Bluebirds,Automate outbound with signals,https://www.bluebirds.ai,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,6.0,,,,,Y Combinator,False,0.0,
Trigo,Rent verification API for landlords and lenders,https://trigodata.com/,,"New York, NY, USA; Remote",Winter 2023,,Y Combinator,4.0,,,,,Y Combinator,False,0.0,
OfOne,AI-powered order taker for restaurant drive-thrus,https://www.of.one,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,5.0,,,,,Y Combinator,True,0.4,
EdgeBit,Autofix your software dependencies,https://edgebit.io,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,5.0,,,,,Y Combinator,False,0.0,
Brewit,Conversational data analytics for every team,https://brewit.ai/,,"Palo Alto, CA, USA",Winter 2023,,Y Combinator,4.0,,,,,Y Combinator,True,0.2,
Dashdive,Break down AI and cloud costs by feature and customer,https://dashdive.com,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,True,0.2,
Viddy,A new way to create landing pages that is video-native.,https://www.viddyapp.io/,,"New York, NY, USA",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Cardinal,Your AI product backlog,http://cardinalapp.io,,"Austin, TX, USA; San Francisco, CA, USA; Remote",Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,True,0.2,
moonrepo,Open source build tool for monorepos and large codebases,https://moonrepo.dev,,"Portland, OR, USA; Remote",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Upfront,A personal assistant for every homeowner,https://tryupfront.com,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,4.0,,,,,Y Combinator,False,0.0,
Second,AI-Native Enterprise Codebase Maintenance,https://www.second.dev,,,Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,True,0.2,
Serial,Root cause manufacturing issues in seconds,https://www.serial.io/,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Luca,The Modern Pricing Engine for Retail,https://www.askluca.com/,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,6.0,,,,,Y Combinator,False,0.0,
Fabius,AI to improve Sales Calls,https://fabius.io,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,True,0.2,
Interlock,We are still in stealth mode.,https://www.tryinterlock.com/,,"San Jose, CA, USA; San Francisco, CA, USA",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
CodeParrot AI,Helps Developers build stunning UI Lightning Fast ⚡️,https://codeparrot.ai/,,"Bengaluru, KA, India",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Sorted,Instant SaaS management,https://sorted-lp.webflow.io/,,"Copenhagen, Denmark; Remote",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Defer,Zero infrastructure background processing platform.,https://www.defer.run,,"Paris, Île-de-France, France",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Echo,Founder-led sales co-pilot for B2B startups.,https://www.echothat.ai/,,"Haifa, Haifa District, Israel",Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,False,0.0,
SensorSurf,Resolve PR check failures instantly with AI,https://www.technician.dev,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,1.0,,,,,Y Combinator,True,0.2,
OutSail Technologies,"Revolutionary, Modern Wing Sails",https://www.outsailtech.com/,,"Mountain View, CA, USA",Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,False,0.0,
Magicflow 𐂂,The Gen AI evaluation and curation platform,https://magicflow.ai,,"Tel Aviv-Yafo, Tel Aviv District, Israel",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,True,0.4,
GoodCourse,The TikTok style corporate training platform,https://www.goodcourse.co,,"London, England, United Kingdom",Winter 2023,,Y Combinator,8.0,,,,,Y Combinator,False,0.0,
Choppy!,FAST FLAVORFUL PROTEIN,http://www.eatchoppy.com,,"Los Angeles, CA, USA",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Neptyne,The programmable spreadsheet.,https://neptyne.com,,"New York, NY, USA",Winter 2023,,Y Combinator,4.0,,,,,Y Combinator,False,0.0,
CreatorML,Foundation Model for Human Attention,https://creatorml.com/,,"New York, NY, USA",Winter 2023,,Y Combinator,6.0,,,,,Y Combinator,False,0.0,
Overflux,Streamline EV charger installations for real estate developers,,,"Los Angeles, CA, USA",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
OpenSight,AI-powered customer support automation for fast-growing companies,https://www.opensight.ai,,"San Francisco, CA, USA; Sunnyvale, CA, USA; Remote",Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,True,0.6,
Cakework,API that adds cloud hosting to any developer platform,https://www.cakework.com,,"Seattle, WA, USA",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Rubber Ducky Labs,AI Powered Product Discovery,https://www.rubberduckylabs.io/,,"San Francisco, CA, USA; Remote",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,True,0.2,
Parabolic,AI assistant for customer support,https://www.growparabolic.com/,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,True,0.2,
Lynx,AI platform for investigating and resolving engineering incidents,https://uselynx.ai,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,5.0,,,,,Y Combinator,True,0.4,
Demospace,,https://www.demospace.ai,,,Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Indexical,AI-powered data extraction engine,https://indexical.dev/,,"San Francisco, CA, USA",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,True,0.4,
Paperplane,Credit risk management platform for builders' merchants,https://www.paperplane.ai/,,"New York, NY, USA",Winter 2023,,Y Combinator,5.0,,,,,Y Combinator,False,0.0,
Layup,Guide your users. Right in your product.,http://www.layuplabs.ai,,"New York, NY, USA",Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,False,0.0,
Struct,Multi-lingual AI Voice Agents,https://struct.app,,Remote,Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,True,0.2,
Blyss,End-to-end encrypted AI.,https://blyss.dev/,,"San Francisco, CA, USA; Remote",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,True,0.2,
Mogara,Automatic software R&D capitalization ,https://mogara.com,,"San Francisco, CA, USA; Remote",Winter 2023,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Lavo Life Sciences,AI for drug formulation,https://www.lavo.ai/,,,Winter 2023,,Y Combinator,3.0,,,,,Y Combinator,True,0.2,
